Feature,Feature_Importance
macro_VIX_change_1w,0.07239029
btc_return_4w,0.063949645
market_QQQ_return_1w,0.060208123
btc_volume_change_1w,0.059025325
btc_volatility_12w,0.056743313
btc_return_2w,0.05601318
btc_volatility_8w,0.054707002
fear_greed_value,0.053196598
macro_US20Y_change_1w,0.051640995
fear_greed_change_1w,0.050207507
btc_vwap_distance,0.049601514
btc_range_pct,0.049178187
btc_return_1w,0.048181765
macro_US10Y_change_1w,0.04540365
macro_US10Y_close,0.04525754
btc_rsi_14w,0.04316887
market_GLD_return_1w,0.041047353
btc_volatility_4w,0.03691931
btc_sma_ratio_12w,0.032866158
btc_macd,0.030293634
macro_VIX_close,0.0
