Date,btc_close,Actual_Target,Predicted_Target,Probability_Up,Trading_Signal,Signal_Label,BTC_Next_Week_Return,Strategy_Return,Buy_And_Hold_Return,Cash_Return,Position_Change,Transaction_Cost,Strategy_Equity,Buy_And_Hold_Equity,Cash_Equity
2024-01-26,41816.87109375,1,0,0.3548913102418017,0,Stay in Cash,0.0327377024020003,0.0,0.0327377024020003,0.0,0.0,0.0,1.0,1.0327377024020004,1.0
2024-02-02,43185.859375,1,0,0.4568926037548386,0,Stay in Cash,0.0917277067327086,0.0,0.0917277067327086,0.0,0.0,0.0,1.0,1.1274683634997424,1.0
2024-02-09,47147.19921875,1,0,0.3547076236203356,0,Stay in Cash,0.1063266533180697,0.0,0.1063266533180697,0.0,0.0,0.0,1.0,1.247348301312671,1.0
2024-02-16,52160.203125,0,0,0.4522819033378963,0,Stay in Cash,-0.0273820618149672,-0.0,-0.0273820618149672,0.0,0.0,0.0,1.0,1.2131933330213331,1.0
2024-02-23,50731.94921875,1,0,0.4539102740056928,0,Stay in Cash,0.2307950665026408,0.0,0.2307950665026408,0.0,0.0,0.0,1.0,1.4931923689965523,1.0
2024-03-01,62440.6328125,1,1,0.5919344993047859,1,Hold BTC,0.0938405117561043,0.0938405117561043,0.0938405117561043,0.0,1.0,0.0,1.0938405117561043,1.6333143050534984,1.0
2024-03-08,68300.09375,1,1,0.6124516095346226,1,Hold BTC,0.016159270462202,0.016159270462202,0.016159270462202,0.0,0.0,0.0,1.1115161764280845,1.6597074726586414,1.0
2024-03-15,69403.7734375,0,0,0.375303663264679,0,Stay in Cash,-0.0810476353107151,-0.0,-0.0810476353107151,0.0,1.0,0.0,1.1115161764280845,1.525192106692135,1.0
2024-03-22,63778.76171875,1,0,0.4986322479682701,0,Stay in Cash,0.0958636737604228,0.0,0.0958636737604228,0.0,0.0,0.0,1.1115161764280845,1.6714026252300418,1.0
2024-03-29,69892.828125,0,0,0.3884136550776201,0,Stay in Cash,-0.0294048410278147,-0.0,-0.0294048410278147,0.0,0.0,0.0,1.1115161764280845,1.6222552967416803,1.0
2024-04-05,67837.640625,0,0,0.4355604062869714,0,Stay in Cash,-0.0094604327566116,-0.0,-0.0094604327566116,0.0,0.0,0.0,1.1115161764280845,1.6069080595927987,1.0
2024-04-12,67195.8671875,0,0,0.4170745733335999,0,Stay in Cash,-0.0498884383119264,-0.0,-0.0498884383119264,0.0,0.0,0.0,1.1115161764280845,1.5267419259888662,1.0
2024-04-19,63843.5703125,0,0,0.4971105239335841,0,Stay in Cash,-0.0013822848497982,-0.0,-0.0013822848497982,0.0,0.0,0.0,1.1115161764280845,1.52463153375502,1.0
2024-04-26,63755.3203125,0,0,0.3388511172915934,0,Stay in Cash,-0.0135750925688676,-0.0,-0.0135750925688676,0.0,0.0,0.0,1.1115161764280845,1.503934519550881,1.0
2024-05-03,62889.8359375,0,0,0.4210036483040141,0,Stay in Cash,-0.0333449525267335,-0.0,-0.0333449525267335,0.0,0.0,0.0,1.1115161764280845,1.4537858943931412,1.0
2024-05-10,60792.77734375,1,0,0.4360869903628369,0,Stay in Cash,0.1029579158862608,0.0,0.1029579158862608,0.0,0.0,0.0,1.1115161764280845,1.6034646602247027,1.0
2024-05-17,67051.875,1,0,0.4729888629177908,0,Stay in Cash,0.0219863585097359,0.0,0.0219863585097359,0.0,0.0,0.0,1.1115161764280845,1.638719009102095,1.0
2024-05-24,68526.1015625,0,0,0.4173950192932564,0,Stay in Cash,-0.0150991735471235,-0.0,-0.0150991735471235,0.0,0.0,0.0,1.1115161764280845,1.6139757063886921,1.0
2024-05-31,67491.4140625,1,0,0.3372937830953678,0,Stay in Cash,0.0274282573674591,0.0,0.0274282573674591,0.0,0.0,0.0,1.1115161764280845,1.6582442474483479,1.0
2024-06-07,69342.5859375,0,0,0.3998613235834518,0,Stay in Cash,-0.0480439565738541,-0.0,-0.0480439565738541,0.0,0.0,0.0,1.1115161764280845,1.5785756328350962,1.0
2024-06-14,66011.09375,0,0,0.4267227988188214,0,Stay in Cash,-0.0290086775186936,-0.0,-0.0290086775186936,0.0,0.0,0.0,1.1115161764280845,1.5327832413633151,1.0
2024-06-21,64096.19921875,0,0,0.3080578276377294,0,Stay in Cash,-0.0589124245435038,-0.0,-0.0589124245435038,0.0,0.0,0.0,1.1115161764280845,1.4424832643149517,1.0
