Date,Fear_Greed_Value,Fear_Greed_Class
2020-01-03,38.0,Fear
2020-01-10,42.0,Fear
2020-01-17,51.857142857142854,Neutral
2020-01-24,48.857142857142854,Fear
2020-01-31,50.857142857142854,Greed
2020-02-07,57.0,Greed
2020-02-14,58.57142857142857,Greed
2020-02-21,51.857142857142854,Fear
2020-02-28,42.714285714285715,Fear
2020-03-06,39.0,Fear
2020-03-13,20.714285714285715,Extreme Fear
2020-03-20,9.857142857142858,Extreme Fear
2020-03-27,11.571428571428571,Extreme Fear
2020-04-03,11.714285714285714,Extreme Fear
2020-04-10,16.285714285714285,Extreme Fear
2020-04-17,13.857142857142858,Extreme Fear
2020-04-24,17.714285714285715,Extreme Fear
2020-05-01,29.857142857142858,Fear
2020-05-08,45.0,Greed
2020-05-15,44.0,Fear
2020-05-22,46.285714285714285,Fear
2020-05-29,41.57142857142857,Neutral
2020-06-05,51.42857142857143,Neutral
2020-06-12,51.0,Fear
2020-06-19,38.714285714285715,Fear
2020-06-26,41.0,Fear
2020-07-03,41.857142857142854,Fear
2020-07-10,41.42857142857143,Fear
2020-07-17,42.714285714285715,Fear
2020-07-24,47.285714285714285,Neutral
2020-07-31,66.57142857142857,Greed
2020-08-07,76.14285714285714,Extreme Greed
2020-08-14,78.0,Extreme Greed
2020-08-21,80.28571428571429,Extreme Greed
2020-08-28,76.0,Greed
2020-09-04,72.28571428571429,Fear
2020-09-11,40.142857142857146,Fear
2020-09-18,43.57142857142857,Neutral
2020-09-25,45.0,Fear
2020-10-02,45.0,Fear
2020-10-09,44.0,Neutral
2020-10-16,53.857142857142854,Neutral
2020-10-23,61.42857142857143,Greed
2020-10-30,70.85714285714286,Greed
2020-11-06,74.71428571428571,Extreme Greed
2020-11-13,87.42857142857143,Extreme Greed
2020-11-20,89.0,Extreme Greed
2020-11-27,90.85714285714286,Extreme Greed
2020-12-04,90.71428571428571,Extreme Greed
2020-12-11,92.28571428571429,Extreme Greed
2020-12-18,92.28571428571429,Extreme Greed
2020-12-25,91.14285714285714,Extreme Greed
2021-01-01,92.42857142857143,Extreme Greed
2021-01-08,93.28571428571429,Extreme Greed
2021-01-15,87.14285714285714,Extreme Greed
2021-01-22,73.57142857142857,Fear
2021-01-29,71.28571428571429,Extreme Greed
2021-02-05,78.0,Extreme Greed
2021-02-12,89.28571428571429,Extreme Greed
2021-02-19,93.42857142857143,Extreme Greed
2021-02-26,82.85714285714286,Greed
2021-03-05,66.57142857142857,Extreme Greed
2021-03-12,75.14285714285714,Greed
2021-03-19,73.28571428571429,Greed
2021-03-26,66.14285714285714,Neutral
2021-04-02,72.42857142857143,Greed
2021-04-09,72.57142857142857,Greed
2021-04-16,75.14285714285714,Extreme Greed
2021-04-23,70.71428571428571,Greed
2021-04-30,43.857142857142854,Neutral
2021-05-07,62.857142857142854,Greed
2021-05-14,56.857142857142854,Fear
2021-05-21,21.142857142857142,Extreme Fear
2021-05-28,18.285714285714285,Extreme Fear
2021-06-04,20.0,Fear
2021-06-11,17.857142857142858,Extreme Fear
2021-06-18,28.714285714285715,Extreme Fear
2021-06-25,20.0,Fear
2021-07-02,24.142857142857142,Extreme Fear
2021-07-09,24.0,Extreme Fear
2021-07-16,21.142857142857142,Extreme Fear
